algorithm,n,distribution,elapsed_ns,elapsed_ms,comparisons,array_accesses,swaps,memory_bytes
BoyerMoore,100,random,77900,0,078,150,200,0,30200
BoyerMoore,100,majority,115900,0,116,187,200,0,7824
BoyerMoore,100,sorted,44500,0,045,150,200,0,5880
BoyerMoore,100,reversed,40300,0,040,150,200,0,0
BoyerMoore,100,nearly-sorted,48300,0,048,150,200,0,0
BoyerMoore,100,all-equal,49300,0,049,199,200,0,0
BoyerMoore,100,all-negative,51600,0,052,150,200,0,11912
BoyerMoore,1000,random,239200,0,239,1500,2000,0,2640
BoyerMoore,1000,majority,201400,0,201,1993,2000,0,0
BoyerMoore,1000,sorted,242000,0,242,1500,2000,0,2640
BoyerMoore,1000,reversed,223900,0,224,1500,2000,0,0
BoyerMoore,1000,nearly-sorted,176000,0,176,1500,2000,0,2640
BoyerMoore,1000,all-equal,188800,0,189,1999,2000,0,0
BoyerMoore,1000,all-negative,180100,0,180,1500,2000,0,2640
BoyerMoore,10000,random,1465500,1,466,15002,20000,0,2640
BoyerMoore,10000,majority,465200,0,465,19992,20000,0,0
BoyerMoore,10000,sorted,37200,0,037,15000,20000,0,2640
BoyerMoore,10000,reversed,28600,0,029,15000,20000,0,0
BoyerMoore,10000,nearly-sorted,47200,0,047,15000,20000,0,2640
BoyerMoore,10000,all-equal,48400,0,048,19999,20000,0,0
BoyerMoore,10000,all-negative,38200,0,038,15003,20000,0,0
BoyerMoore,100000,random,194700,0,195,150021,200000,0,6072
BoyerMoore,100000,majority,604900,0,605,199957,200000,0,0
BoyerMoore,100000,sorted,213900,0,214,150000,200000,0,8992
BoyerMoore,100000,reversed,182600,0,183,150000,200000,0,0
BoyerMoore,100000,nearly-sorted,292600,0,293,150000,200000,0,9032
BoyerMoore,100000,all-equal,320700,0,321,199999,200000,0,0
BoyerMoore,100000,all-negative,205500,0,206,150046,200000,0,9032
